age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
34,0,0,0,0,1906,0,0,0,0,0,3,-1,0,0,0
46,1,0,0,0,137,0,1,1,0,1,1,-1,0,0,0
42,2,0,1,0,2111,0,0,0,0,1,2,-1,0,0,0
42,1,0,0,0,0,1,0,0,0,2,6,-1,0,0,0
22,3,1,2,0,333,1,1,2,1,3,1,-1,0,0,0
35,4,0,2,0,195,0,0,0,1,4,1,-1,0,0,0
44,5,0,2,0,262,0,0,0,0,0,1,-1,0,0,0
55,6,0,2,0,139,1,0,0,0,2,2,-1,0,0,0
42,0,1,0,0,0,1,0,0,2,5,1,-1,0,0,0
39,0,1,2,0,36,1,0,0,0,2,2,-1,0,0,0
36,3,0,0,0,629,0,1,0,2,6,1,246,1,1,0
47,1,0,2,1,2,1,0,0,1,7,2,-1,0,0,0
42,6,0,1,0,83,1,1,0,0,2,1,-1,0,0,0
53,0,2,1,0,255,1,0,0,1,3,1,-1,0,0,0
37,5,0,2,0,1123,1,1,1,0,1,1,-1,0,0,0
39,3,1,2,0,102,0,0,0,0,2,2,-1,0,0,0
32,5,0,2,0,1031,0,0,0,0,0,1,-1,0,0,0
35,3,0,2,0,-259,0,0,0,2,8,1,247,2,1,0
38,3,1,0,0,2273,0,0,0,1,4,1,-1,0,0,0
26,0,1,2,0,63,1,0,0,0,0,4,-1,0,0,0
41,3,0,0,0,177,0,0,2,0,0,2,-1,0,0,0
32,5,0,2,0,76,0,0,1,0,1,2,-1,0,0,0
37,0,0,0,0,0,0,0,1,0,9,13,-1,0,0,0
58,7,2,1,0,2538,0,0,0,0,0,6,-1,0,0,0
31,2,0,3,0,-120,0,0,0,1,7,3,201,2,1,0
28,4,1,2,0,94,0,0,0,1,4,1,-1,0,0,0
36,2,0,1,0,123,0,0,0,0,1,1,-1,0,0,0
31,5,0,2,0,0,0,1,0,1,3,3,-1,0,0,0
37,0,0,0,0,4039,1,1,0,0,0,2,-1,0,0,0
67,7,0,3,0,696,1,0,2,0,1,2,-1,0,0,0
37,2,0,2,0,1053,1,0,1,0,9,3,-1,0,0,0
58,0,0,0,0,3228,1,0,0,0,2,2,-1,0,0,0
48,3,1,0,0,-551,0,0,0,0,1,2,-1,0,0,0
32,0,1,0,0,1831,0,0,0,1,4,2,-1,0,0,0
42,2,0,1,0,-97,0,0,0,1,7,4,271,5,1,0
41,3,1,2,0,879,1,1,0,0,0,4,-1,0,0,0
40,4,2,2,0,1959,0,0,1,0,1,1,-1,0,0,0
36,2,0,2,0,0,0,0,1,0,1,1,-1,0,0,0
46,2,0,2,0,0,0,0,0,0,1,2,-1,0,0,0
52,7,2,1,0,353,1,0,0,0,0,4,-1,0,0,0
60,2,0,1,0,1472,1,0,1,0,9,4,-1,0,0,0
40,8,0,2,0,0,0,0,0,1,3,1,183,1,1,0
31,2,0,2,0,1545,0,1,0,0,1,1,-1,0,0,0
31,0,0,0,0,271,1,0,0,1,3,1,-1,0,0,0
57,7,0,1,0,5799,1,0,1,0,9,1,-1,0,0,0
36,5,1,0,0,980,1,0,0,1,3,4,104,7,1,0
40,0,0,0,0,1217,0,1,0,1,3,1,-1,0,0,0
41,5,0,2,0,920,0,1,1,0,1,1,-1,0,0,0
58,0,0,1,0,76,0,0,2,0,1,4,-1,0,0,0
35,2,1,3,0,871,0,0,1,0,9,3,-1,0,0,0
49,7,0,1,0,-37,1,0,1,0,0,2,-1,0,0,0
34,2,0,2,0,1221,0,0,0,0,1,1,90,8,1,0
31,2,0,2,0,1495,0,1,1,0,1,3,-1,0,0,0
32,2,1,1,0,882,1,1,0,0,0,8,-1,0,0,0
27,9,1,0,0,81,1,0,0,1,7,1,199,3,1,0
31,3,1,0,0,23,1,0,0,0,2,3,-1,0,0,0
40,6,0,1,0,1832,1,0,0,1,7,4,-1,0,0,0
28,5,0,2,0,934,0,0,1,0,0,2,-1,0,0,0
48,0,0,0,0,0,1,0,0,0,2,16,-1,0,0,0
55,9,2,0,0,0,1,0,1,0,9,2,-1,0,0,0
30,4,1,2,0,0,0,0,0,0,1,6,363,9,1,0
33,3,1,2,0,5235,1,0,0,0,2,3,-1,0,0,0
47,9,0,0,0,459,0,0,0,0,0,4,-1,0,0,0
38,3,1,2,0,50,1,0,0,0,2,2,-1,0,0,0
41,3,0,2,0,351,0,0,0,0,0,1,-1,0,0,0
43,4,0,2,0,642,1,0,0,0,0,2,-1,0,0,0
27,3,1,2,0,282,1,1,0,0,0,5,-1,0,0,0
40,4,0,2,0,1325,1,0,1,0,9,2,-1,0,0,0
52,0,0,0,0,3163,1,0,0,0,2,6,-1,0,0,0
49,4,0,2,0,400,1,0,0,0,2,3,-1,0,0,0
40,4,0,2,0,4157,0,0,1,0,1,1,-1,0,0,0
40,2,0,1,0,177,0,1,2,0,0,4,-1,0,0,0
32,0,1,0,0,8436,0,0,0,1,4,1,149,2,1,0
45,0,0,0,0,6945,1,0,0,0,2,5,356,3,1,0
52,0,0,0,0,-11,0,0,0,0,1,4,-1,0,0,0
46,5,2,2,0,7378,1,0,0,1,3,1,-1,0,0,0
36,3,0,3,0,756,1,0,0,0,0,3,-1,0,0,0
41,2,2,1,0,2195,0,0,1,0,9,5,-1,0,0,0
34,9,0,2,0,1847,0,0,0,1,4,3,321,6,1,0
43,5,0,3,0,3485,1,0,1,0,9,1,-1,0,0,0
26,4,1,2,0,0,1,0,0,0,0,23,-1,0,0,0
47,3,0,2,0,72,1,0,1,0,1,1,-1,0,0,0
51,1,0,0,0,833,1,0,0,0,0,3,-1,0,0,0
51,0,1,0,1,-55,0,0,0,0,2,6,-1,0,0,0
37,5,1,2,0,781,1,0,0,0,2,1,-1,0,0,0
36,2,0,2,0,1587,0,0,0,0,0,2,-1,0,0,0
32,10,1,0,0,0,1,0,0,0,2,5,3,6,2,0
50,3,0,2,0,841,0,0,1,0,1,2,-1,0,0,0
42,0,0,0,0,251,1,0,0,0,2,2,-1,0,0,0
66,0,0,0,0,2169,1,0,0,0,0,1,-1,0,0,0
48,2,0,1,0,750,0,0,0,0,1,6,-1,0,0,0
27,3,1,3,0,59,1,0,0,0,0,4,-1,0,0,0
58,7,0,1,0,1987,1,0,2,0,0,4,-1,0,0,0
56,7,0,2,0,344,0,0,1,0,1,1,-1,0,0,0
32,2,0,2,0,3514,0,0,1,0,1,2,-1,0,0,0
58,8,0,2,0,610,0,0,2,0,0,2,-1,0,0,0
37,0,0,1,0,3953,0,0,0,1,4,2,138,1,1,0
26,0,1,2,0,565,0,0,1,0,9,11,-1,0,0,0
29,2,0,2,0,-478,1,1,0,0,0,2,-1,0,0,0
31,2,0,2,0,-45,0,0,1,0,9,1,-1,0,0,0
32,2,1,0,0,3014,0,0,0,0,1,2,-1,0,0,0
31,2,0,1,0,2,0,1,0,0,0,1,-1,0,0,0
41,2,0,2,0,552,0,0,0,0,1,1,-1,0,0,0
32,5,2,2,1,-18,0,0,1,0,1,3,-1,0,0,0
37,5,0,2,0,11303,1,0,0,0,1,2,-1,0,0,0
47,2,1,3,0,2443,1,0,1,0,9,1,-1,0,0,0
31,0,0,0,0,2395,1,0,0,1,4,1,-1,0,0,0
42,2,1,1,0,1628,0,0,0,1,7,1,195,8,3,0
29,10,1,3,0,145,1,0,0,0,2,1,-1,0,0,0
30,10,1,2,0,4,1,0,0,1,7,2,-1,0,0,0
36,4,0,2,0,338,1,0,1,0,1,1,-1,0,0,0
78,7,0,0,0,226,1,0,2,1,3,1,-1,0,0,0
37,2,0,1,0,378,0,0,1,0,1,1,-1,0,0,0
46,0,2,2,0,-852,1,1,0,0,2,2,-1,0,0,0
33,2,0,2,0,86,0,0,1,0,1,1,-1,0,0,0
29,8,0,2,0,596,1,0,0,2,8,2,-1,0,0,0
38,0,2,2,0,-17,1,0,0,1,3,4,-1,0,0,0
43,8,2,2,0,4094,0,0,0,1,3,1,-1,0,0,0
53,2,0,2,0,483,0,0,0,1,7,3,-1,0,0,0
50,0,0,0,0,19447,0,1,0,1,3,1,-1,0,0,0
49,3,2,2,0,265,0,0,1,0,1,6,-1,0,0,0
34,3,1,2,0,318,1,1,0,0,0,5,-1,0,0,0
36,9,0,1,0,177,0,0,1,0,1,5,-1,0,0,0
55,2,0,1,0,3873,1,0,2,1,4,1,-1,0,0,0
24,5,1,2,0,926,0,1,0,0,1,1,-1,0,0,0
37,0,1,3,0,504,0,0,0,1,4,1,-1,0,0,0
26,0,1,0,0,-8,1,0,0,0,2,2,-1,0,0,0
58,5,0,2,0,3496,0,0,1,0,9,4,-1,0,0,0
37,3,0,2,0,1633,0,0,1,0,1,3,-1,0,0,0
