age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
1,4,1,2,0,168,1,0,0,1,0,3,140,2,3
0,0,0,0,0,1429,0,0,0,19,1,1,198,2,2
2,7,2,2,0,1580,1,1,1,19,0,1,-1,0,0
0,0,0,3,0,3576,1,0,0,25,1,2,183,1,3
0,9,0,2,0,593,0,1,0,24,0,24,-1,0,0
2,2,0,2,0,483,0,0,0,3,1,3,-1,0,0
2,9,0,1,0,27,0,0,2,10,2,3,-1,0,0
2,9,0,0,0,1544,1,1,0,5,1,7,196,3,1
1,4,1,2,0,3485,1,0,0,2,1,2,-1,0,0
0,2,2,1,0,844,1,0,1,5,0,3,-1,0,0
1,2,0,2,0,139,0,1,0,18,0,2,291,5,1
0,0,1,2,0,36,1,0,0,29,0,2,-1,0,0
0,0,2,2,0,291,1,0,0,7,0,2,-1,0,0
2,2,2,1,0,-182,1,0,0,9,0,1,-1,0,0
2,0,0,0,0,1147,1,0,0,5,0,1,64,2,3
2,3,0,2,0,72,1,0,1,29,0,1,-1,0,0
0,0,0,0,0,4089,0,0,0,2,1,2,174,4,2
2,5,0,3,0,4629,0,0,0,27,2,1,92,1,3
0,4,0,2,0,1076,1,0,0,12,0,1,182,6,3
0,3,0,2,0,1477,0,0,0,8,0,1,-1,0,0
2,5,0,2,0,4608,1,0,0,12,2,1,-1,0,0
0,5,0,3,0,1783,1,0,1,20,0,11,-1,0,0
1,5,1,0,0,305,1,0,0,30,1,1,85,2,3
2,3,0,2,1,-308,1,0,0,2,1,1,-1,0,0
2,7,0,2,0,14412,1,0,0,18,1,1,-1,0,0
2,0,0,1,0,4086,1,0,1,20,0,3,-1,0,0
2,7,0,1,0,429,1,0,2,8,0,2,-1,0,0
1,0,1,2,0,36,1,0,0,27,0,2,-1,0,0
2,4,0,2,0,320,1,0,2,9,1,4,-1,0,0
2,7,2,0,0,264,0,1,0,8,0,3,-1,0,0
2,7,0,2,0,1044,1,0,2,11,2,1,192,2,3
0,2,1,2,0,0,0,0,0,26,1,1,192,4,1
1,8,0,2,0,296,0,0,1,20,0,3,-1,0,0
1,0,0,2,0,3935,0,0,0,6,0,1,342,2,1
2,1,0,0,0,2013,1,0,0,19,1,4,94,2,3
1,2,1,2,0,396,0,0,1,28,0,1,-1,0,0
1,0,0,0,0,913,0,0,0,23,0,1,674,4,1
2,6,0,2,0,139,1,0,0,22,0,2,-1,0,0
2,4,0,2,0,108,0,0,1,15,0,12,-1,0,0
1,0,0,0,0,2431,0,0,0,14,0,5,-1,0,0
2,5,1,3,0,2227,1,0,0,24,1,2,-1,0,0
0,0,1,2,0,192,0,0,1,16,0,11,-1,0,0
1,5,2,2,0,451,0,0,0,16,0,1,-1,0,0
2,7,0,1,0,8556,1,0,2,18,2,2,272,2,3
1,10,1,0,0,3733,0,0,0,22,0,1,98,6,3
1,0,2,0,0,874,1,0,0,12,0,6,-1,0,0
1,0,0,2,0,625,0,0,0,7,1,1,138,1,1
0,4,1,2,0,7066,0,0,0,15,0,3,357,3,2
2,8,0,2,0,94,1,0,0,10,0,1,181,14,3
2,7,0,3,0,1033,1,0,1,11,0,1,-1,0,0
0,8,1,0,0,9019,0,0,1,11,0,3,-1,0,0
0,3,1,2,0,-242,0,0,0,18,0,3,278,6,3
1,5,1,2,0,255,1,0,0,30,1,1,80,1,3
0,5,2,2,0,6046,0,1,2,15,2,6,182,2,3
0,4,0,2,0,4,1,0,0,30,1,1,261,5,2
2,0,2,0,0,100,0,1,0,13,0,1,299,3,1
0,5,1,2,0,-1,1,0,0,7,0,1,-1,0,0
0,0,0,0,0,3288,1,0,0,8,0,2,-1,0,0
1,3,0,2,0,-393,0,1,0,16,0,1,-1,0,0
0,3,0,2,0,0,0,0,0,15,0,1,-1,0,0
0,5,0,3,0,3485,1,0,1,18,0,1,-1,0,0
2,2,0,2,0,841,0,0,1,19,0,1,-1,0,0
1,4,0,2,0,182,0,0,2,13,0,3,-1,0,0
0,11,1,0,0,1567,1,0,0,1,0,2,-1,0,0
0,2,0,2,0,668,0,0,1,15,0,2,-1,0,0
2,7,2,0,0,4659,1,0,0,14,1,1,-1,0,0
1,0,1,3,0,787,1,0,0,28,2,1,-1,0,0
1,0,0,0,0,271,1,0,0,18,1,1,-1,0,0
0,2,0,1,0,422,0,0,0,14,0,1,-1,0,0
0,3,0,0,0,544,0,1,0,18,1,2,-1,0,0
2,3,0,2,0,195,0,0,0,18,1,1,63,5,1
0,3,0,2,0,1322,0,1,0,19,1,1,-1,0,0
2,0,0,0,0,-970,0,0,0,4,1,1,-1,0,0
1,8,1,0,0,302,1,0,0,11,1,3,-1,0,0
0,1,1,0,0,426,1,0,1,18,0,1,-1,0,0
0,2,0,2,0,-839,0,1,0,16,0,2,-1,0,0
0,0,1,0,0,5063,1,0,0,27,2,2,-1,0,0
0,0,0,0,0,1906,0,0,0,14,0,3,-1,0,0
0,2,1,1,0,851,0,0,0,15,0,1,352,1,1
0,3,1,0,0,-41,1,1,0,25,0,15,-1,0,0
0,8,2,0,0,-166,1,0,0,29,0,4,-1,0,0
0,4,2,2,0,257,0,0,0,12,0,2,-1,0,0
0,3,1,2,0,244,0,0,0,12,0,4,-1,0,0
0,3,1,2,0,1679,1,0,2,20,2,1,-1,0,0
2,5,2,2,0,4099,1,0,0,2,1,2,-1,0,0
2,9,2,2,0,538,0,0,0,7,0,2,-1,0,0
1,2,0,1,0,415,0,0,1,2,0,4,-1,0,0
2,0,2,0,0,26306,0,0,0,11,1,1,84,3,1
0,0,1,3,0,504,0,0,0,16,1,1,-1,0,0
2,7,0,0,0,0,1,0,0,16,2,1,60,1,3
1,3,1,2,0,489,0,0,0,30,0,4,-1,0,0
2,5,1,2,0,3696,1,0,0,12,0,2,181,4,3
2,11,0,1,0,341,0,1,0,20,1,4,340,2,3
